	Target creature you control in combat has power and toughness each equal to the number of cards in your hand.	Aeon Chronicler	
	Create a 2/4 red Human Berserker creature token with rampage 3. Blockers may be reassigned.	AErathi Berserker	
	Remove the top card of your library from the game. You may play that card right now or it stays removed. (Reveal the card as you remove it from the game.)	Aerial Caravan	
	Name an artist. Remove the top six cards of your library from the game, then reveal cards from the top of your library until you reveal a card by the named artist. Put that card in your hand, then remove all the other cards revealed this way from the game.	Aesthetic Consultation	
	Create a 2/1 Bird artifact creature token that can't block.	Aesthir Glider	
	Each player sacrifices a permanent or pays 1 for each creature they control.	AEther Barrier	
	Return 1d6 target creatures to their owners' hands.	AEther Burst	
	If you control a Beast creature, it deals 4 damage to target opponent.	AEther Charge	
	Chaos deals 2 damage to 1d6 creatures.	AEther Flash	
	Whenever a creature is blocked this combat, return it to its owner's hand at end of combat if it is still in play.	AEther Membrane	
	Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is its converted mana cost.	AEther Mutation	
	Reveal a card at random from your hand. If you reveal a noncreature card this way, discard that card. If you reveal a creature card this way, put that card onto the battlefield unless any player pays 5 life. If a player pays 5 life, discard that card.	AEther Rift	
	Choose one - Tap all Spirits; or tap all non-Spirit creatures.	AEther Shockwave	
	Remove all counters from all permanents and remove all tokens from the game.	AEther Snap	
	Sacrifice two non-creature permanents you control. Return target creature to its owner's hand. Draw a card.	AEther Spellbomb	
	Chaos deals 1 damage to each player for each creature he or she controls.	AEther Sting	
	All players reveal their hands and discard all creature cards.	AEther Storm	
	Tap all your lands for mana. Spend all mana in your pool on X. Discard X creature cards. Return X target creatures to their owners' hands.	AEther Tide	
	Reveal your hand. Put a creature card with converted mana cost 1d6 from your hand onto the battlefield.	AEther Vial	
	Target creature you control gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow this combat.	AEther Web	
	Target untapped creature gets +1/+0 for each Mountain you control and can block creatures with shadow as though they didn't have shadow this combat.	AEtherflame Wall	
	Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It has "At the end of this combat, return this creature to its owner's hand." Then put the rest of the cards revealed this way on the bottom of your library in any order.	AEthermage's Touch	
	Whenever a creature not controlled by the active player blocks a creature, the blocking creatures controller may return the blocker to its owner's hand. If he or she does, he or she may put a creature card from his or her hand onto the battlefield blocking that creature.	AEtherplasm	
	Return target nonland permanent to its owner's hand for each creature you have in play.	AEthersnipe	
	Target creature in combat gets -1/-1 this combat. Draw a card.	Afflict	
	Sacrifice a permanent. Distribute three +1/+1 counters on creatures in combat.	Afiya Grove	
	Destroy target creature in combat. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.	Afterlife	
	Destroy target artifact, creature, or land. Chaos deals 3 damage to you.	Aftershock	
	Whenever you gain life this combat, put that many +1/+1 counters on a creature in combat. Roll 1d6. Gain that much life.	Ageless Entity	
	Target creature in combat gets four +1/+1 counters, adds Wall to it's creature type, gains defender, and flying. If this creature blocks this combat, it becomes a Bird Giant, and it loses defender and Wall creature type. This effect is permanent.	Ageless Sentinels	
	Each opponent loses 1 life. You gain life equal to the life lost this way.	Agent of Masks	
	Sacrifice a land. Target creature in combat gets +2/+0 this combat.	Agent of Shauku	
	Add B to your mana pool for each Mountain you control.	Agent of Stromgald	
	After this combat, the attacker untaps all creatures he or she controls. There is an additional combat phase followed by an additional main phase.	Aggravated Assault	
	Target creature the attacking player controls that is not attacking has first strike, trample, and must attack this combat. If it doesn't it is sacrificed.	Aggression	
	Target creature in combat gets +1/+1 this turn. Draw a card.	Aggressive Urge	
	Target creature in combat gets +1/+1 and flanking this turn.	Agility	
	Destroy target nonblack creature in combat. It can't be regenerated. Kicker 1R; If the kicker cost is paid, Chaos deals damage equal to that creature's power to the creature's controller.	Agonizing Demise	
	Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.	Agonizing Memories	
	Attacking red creatures get +2/+0 this combat and attacking white creatures get +0/+2 this turn.	Agrus Kos, Wojek Veteran	
	Target defender has flying and can only block creatures with flying this combat.	Air Bladder	
	Create a 4/4 blue Elemental creature token with flying. Blockers may be reassigned.	Air Elemental	
	Draw a card for each Bird in play.	Airborne Aid	
	Sacrifice a creature. Chaos deals damage equal to the sacrificed creature's power to target creature or player.	Airdrop Condor	
	Whenever target creature in combat blocks or becomes blocked this combat, the other creature becomes green. (The green effect is permanent)	Aisling Leprechaun	
	Choose one - Your opponents each gain 1 life and you gain 2 life.; or Lose 1 life and put a +1/+1 counter on each creature you control and those creatures gain vigilance this turn.; or Lose 6 life and put a white Avatar creature token onto the battlefield with "This creature's power and toughness are each equal to your life total."	Ajani Goldmane	
	Sacrifice a land. Target creature you control gets +2/+0 until end of combat.	Akki Avalanchers	
	When a creature is put into a graveyard from play this combat, each player sacrifices a land.	Akki Blizzard-Herder	
	Tap a creature you control. Attacking creatures gain first strike until end of turn.	Akki Coalflinger	
	Tap a creature you control. Target creature gains haste until end of combat.	Akki Drillmaster	
	Choose a creature controlled by the active player. Only that creature and artifact creatures can attack this combat.	Akron Legionnaire	
	Put a +1/+1 counter on each creature each opponent controls.	Aku Djinn	
	Prevent all damage that would be dealt to you this combat by attacking creatures without flying.	Al-abara's Carpet	
	Whenever a creature is put into your graveyard from play this combat, shuffle that creature into your library.	Alabaster Dragon	
	Choose one - Target player gains 1d6 life; or prevent the next 1d6 damage that would be dealt to target creature or player this combat.	Alabaster Potion	
	Whenever a creature attacks this combat, the attacking player may tap target creature.	Alaborn Cavalier	
	Create a 2/2 white Human Soldier creature token with vigilance. Blockers may be reassigned.	Alaborn Grenadier	
	Create a 2/2 white Human Soldier creature token with reach. Blockers may be reassigned.	Alaborn Musketeer	
	Create a 2/3 white Human Soldier creature token. Blockers may be reassigned.	Alaborn Trooper	
	Target creature gets +2/+2 this turn.	Alaborn Veteran	
	Choose a blocking creature. Destroy that creature and the creature it's blocking.	Alaborn Zealot	
	Gain control of target artifact until end of turn. Untap it.	Aladdin	
	Look at the top X cards of your library, where X=the number of lands you control. Put all but one of them on the bottom of your library in a random order, then draw a card.	Aladdin's Lamp	
	Chaos deals 4 damage to any target in combat.	Aladdin's Ring	
	Untap target nonattacking creature. It gets +1/+3 this turn.	Alarum	
	Target permanent you control becomes the color of your choice. (This effect is permanent)	Alchor's Tomb	
	Roll 1d6. If the result is even, target creature in combat gets +1/+1 this turn. Draw a card.	Aleatory	
	Create a 2/2 white Human Soldier creature token with vigilance. Blockers may be reassigned.	Alert Shu Infantry	
	Tap target Wall and remove it from combat.	Ali Baba	
	Damage that would reduce your life total to less than 1 this combat reduces it to 1 instead.	Ali from Cairo	
	Target creature in combat gets +3/+1 this turn.	Aliban's Tower	
	Each player returns all creature cards from his or her graveyard to play.	All Hallow's Eve	
	All creatures able to block target attacker this combat do so.	Alluring Scent	
	Remove the top 1d6 cards in your graveyard from the game. Prevent the next 1d6 damage that would be dealt to target untapped creature this combat.	Alms	
	Sacrifice a creature. Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library.	Altar of Bone	
	Sacrifice a creature. Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.	Altar of Dementia 	
	Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash this combat.	Aluren	
	Target player puts the top three cards of his or her library into his or her graveyard.	Ambassador Laquatus	
	Tap target artifact, creature, or land.	Amber Prison	
	You draw three cards and you lose 3 life.	Ambition's Cost	
	Blockers gain first strike this combat.	Ambush	
	Create a 3/1 red Human Rogue creature token with first strike and haste. Attackers and blockers may be reassigned.	Ambush Party	
	Target player reveals his or her hand and discards all nonland cards.	Amnesia	
	Create a 1/1 white Kithkin creature token that can't be blocked by creatures with power 3 or greater. Blockers may be reassigned.	Amrou Kithkin	
	Prevent the next 1 damage that would be dealt to target creature or player this combat.	Amulet of Kroog	
	Sacrifice a permanent. Target opponent may remove the top card of his or her library from the game. If he or she doesn't, roll 1d6. If the roll is even, that player loses the game. If the roll is odd, you lose the game.	Amulet of Quoz	
	Remove a permanent you control from the game. Remove target artifact, creature, or land from the game.	Amulet of Unmaking	
	Target Minotaur creature in combat gets +1/+1 this turn.	Anaba Ancestor	
	Create a 2/3 red Minotaur creature token with first strike. Blockers may be reassigned.	Anaba Bodyguard	
	Tap a creature you control. Chaos deals 1 damage to target creature or player.	Anaba Shaman	
	Minotaur creatures get +1/+0 this combat.	Anaba Spirit Crafter	
	Create a 3/3 green Snake creature token with swampwalk. Blockers may be reassigned.	Anaconda	
	Put a creature from your hand onto the battlefield. You may return target sorcery card from your graveyard to your hand.	Anarchist	
	Destroy all white permanents.	Anarchy	
	Unearth target creature. Chaos deals damage to target player equal to the number of nonbasic lands that player controls. Attackers and blockers may be reassigned.	Anathemancer	
	If you control a creature, gain 1 life for each card in your graveyard.	Ancestor's Chosen	
	Look at the top ten cards of your library, then remove any number of them from the game and put the rest back on top of your library in any order.	Ancestral Knowledge	
	Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.	Ancestral Memories	
	Target player draws 3 cards.	Ancestral Recall	
	Draw three cards and lose 3 life.	Ancient Craving	
	Chaos deals damage to target player equal to the number of artifacts he or she controls.	Ancient Runes 	
	Regenerate target creature in combat.	Ancient Silverback	
	When a creature you control is put into your graveyard from play this combat, you may shuffle it into your library.	Angel of Fury	
	Target creature has flying and vigilance until end of combat.	Angel of Light	
	If you control a creature, gain 3 life.	Angel of Mercy	
	Target creature gets +3/+3 and gains flying this turn.	Angelic Blessing	
	Gain life equal to the total toughness of all the creatures you control.	Angelic Chorus	
	Target creature in combat gets +1/+1 this turn.	Angelic Page	
	Whenever target creature in combat becomes the target of a spell or ability this combat, it gets +0/+3 this turn.	Angelic Protector 	
	Whenever a creature is put into your graveyard from play this combat, you may sacrifice a permanent. If you do, return that card to play.	Angelic Renewal	
	Creatures you control get +1/+1 this turn as long as you control no nonartifact, nonwhite creatures.	Angelic Voices	
	Create a 0/4 white Wall creature token with defender and flying. Blockers may be reassigned.	Angelic Wall	
	Reveal your hand. Gain 1 life for each white card revealed this way.	Angel's Feather	
	If it's your turn, target creature you control has power and toughness this turn each equal to 2 plus the number of Swamps your opponents control. If it's not your turn, that creature's power and toughness are each 2 this turn.	Angry Mob	
	Tap a creature you control. Prevent all combat damage that would be dealt this combat.	Angus Mackenzie	
	Target untapped creature you control has toughness this combat equal to 1 plus the number of green creatures in play.	An-Havva Constable	
	Gain X+1 life, where X is the number of green creatures in play.	An-Havva Inn	
	Add G, R, or W to your mana pool. This mana doesn't empty until end of turn.	An-Havva Township	
	Target artifact is a creature with power and toughness each equal to its converted mana cost. It's still an artifact. Blockers may be reassigned.	Animate Artifact	
	Put a creature from any graveyard onto the battlefield under your control with a -1/-0 counter on it. Sacrifice this creature at end of turn. 	Animate Dead	
	Walls can attack as though they didn't have defender until end of turn. Attackers and blockers may be reassigned.	Animate Wall	
	Chaos deals 2 damage to you for each land you control.	Ankh of Mishra	
	You control target land.	Annex	
	Prevent the next 3 damage that would be dealt to target creature in combat this turn. If you pay 3, you may play this effect again.	Anoint	
	Target creature you control can't be the target of spells this combat. This effect cannot be responded to.	Anti-Magic Aura	
	Draw a card, then discard a card.	Anvil of Bogardan	
	Choose a creature type. Tap all creatures of the chosen type.	An-Zerrin Ruins	
	Tap target untapped creature. It's controller may discard a card at random to untap that creature.	Apathy	
	Target attacking creature doesn't untap during its controller's next untap step.	Apes of Rath	
	Remove all permanents from the game. You discard your hand.	Apocalypse	
	Sacrifice a permanent. Destroy all cards with names from the Homelands expansion. They can't be regenerated.	Apocalypse Chime	
	Tap an untapped creature you control. That creature deals 1 damage to target creature or player.	Apprentice Sorcerer	
	Add 3 to your mana pool.	Apprentice Wizard	
	Creatures can't attack a player this combat who didn't play a spell or didn't put a card onto the battlefield during his or her last turn.	Arboria	
	Chaos deals 3 damage divided as you choose among any number of target creatures and/or players.	Arc Lightning	
	Sacrifice a creature unless you pay GWU. Untapped nonattacking creatures you control get +0/+2 this combat. Target creature you control gets +0/+X this combat where X equals the number of Plains you control.	Arcades Sabboth	
	Target player discards a card at random and draws two cards. Draw a card.	Arcane Denial	
	Players can't play spells this combat. This effect cannot be responded to.	Arcane Laboratory	
	Target creature you control has +2/+2 and "Tap this creature to deal 1 damage to target creature or player." until end of combat.	Arcane Teachings	
	Return a creature you control to its owner's hand.	Arcanis the Omnipotent	
	Create a 5/5 white Angel creature token with flying and vigilance. Blockers may be reassigned.	Archangel	
	Look at the top three cards of target player's library, then put them back in any order. Until end of turn, you may cycle a creature for 1.	Architects of Will	
	Draw a card.	Archivist	
	Creatures with power 2 or greater can't block other creatures this combat as long as defending player controls a snow land.	Arctic Foxes	
	If you control a creature, draw a card.	Arctic Wolves	
	Tap a noncreature permanent you control. Creatures have vigilance this combat if the defending player controls a snow land.	Arcum's Sleigh	
	Tap a noncreature permanent you control. Choose one - Snow lands are no longer snow this combat; or Nonsnow basic lands become snow this combat.	Arcum's Weathervane	
	Tap a noncreature permanent you control. Choose target creature without defender controlled by the active player the whole turn. That player may pay X, where X is that creature's converted mana cost. If he or she doesn't, the creature attacks this combat if able. At end of combat, destroy it if it didn't attack.	Arcum's Whistle	
	Create a 2/5 white Human Soldier creature token with vigilance. Blockers may be reassigned.	Ardent Militia	
	The attacking player has Exalted until end of turn. Attackers and blockers may be reassigned. Cascade the next spell you cast this turn.	Ardent Plea	
	Tap all legendary creatures.	Arena of the Ancients	
	Sacrifice an enchantment. Destroy target enchantment. Look at target players hand and have them discard an enchantment card.	Arenson's Aura	
	Return target artifact card from your graveyard to your hand.	Argivian Archaeologist	
	Prevent the next 2 damage that would be dealt to target artifact creature this combat.	Argivian Blacksmith	
	Return target artifact or enchantment card from your graveyard to your hand.	Argivian Find	
	Return target artifact card from your graveyard to play.	Argivian Restoration	
	Untap two target lands.	Argothian Elder	
	Creatures can't be blocked by artifact creatures this combat. Prevent all damage that would be dealt to target creature by artifact creatures this combat.	Argothian Pixies	
	Prevent all damage that would be dealt to target creature you control by artifacts this combat.	Argothian Treefolk	
	Destroy all lands.	Armageddon	
	Roll 1d6. Each player takes damage equal to the roll. 4: Reduce the damage for each player by 1. Any player may pay this cost.	Armageddon Clock	
	Target creature gets +1/+1 this turn. Target creature gets +0/+1 this turn for each Plains you control.	Armor of Faith	
	Target untapped, nonblack creature gets +2/+2 this turn.	Armor of Thorns	
	Choose a creature type in combat. All creatures of that type have "2: This creature gets +0/+1 until end of turn." this combat.	Armor Sliver	
	Sacrifice a creature. Put a +1/+2 counter on target creature in combat.	Armor Thrull	
	Target creature controlled by the active player can't attack this combat unless defending player controls an Island.	Armored Galleon	
	Create a 2/3 white Griffin creature token with flying and vigilance. Blockers may be reassigned.	Armored Griffin	
	Target creature in combat becomes a 1/2 white Pegasus creature with flying this combat.	Armored Pegasus	
	Choose one - Target creature in combat gets +1/+0 this combat; or Target creature in combat gets +0/+1 this turn.	Armorer Guildmage	
	Sacrifice a land. Destroy target land.	Army Ants	
	Attacking creatures get +2/+0 until end of turn.	Army of Allah	
	Target creature you control gains flying this combat.	Arnjlot's Ascent	
	Create a 4/3 black Vampire creature token with flying. Blockers may be reassigned.	Arrogant Vampire	
	You may reveal any number of artifact cards from your hand. Target creature in combat gets a +1/+1 counter on it for each card revealed this way.	Arsenal Thresher	
	Put an artifact you don't control into its owners graveyard.	Artifact Blast	
	Whenever an artifact becomes tapped or a player plays an activated ability of an artifact without tapping it this combat, Chaos deals 2 damage to that artifact's controller.	Artifact Possession	
	Target creature you control has protection from artifacts this combat.	Artifact Ward	
	Black creatures get +1/+1 and nonblack creatures get -1/-1 until end of combat.	Ascendant Evincar	
	Return target creature card from your graveyard to play if three or more creature cards are above the one you return.	Ashen Ghoul	
	Put target creature card from an opponent's graveyard onto the battlefield.	Ashen Powder	
	Remove two target nonartifact creatures in combat from the game. Chaos deals 5 damage to you.	Ashes to Ashes	
	Target creature in combat is sacrificed. Add 2 to your mana pool.	Ashnod's Altar	
	Target creature in combat gets +2/-2 this combat.	Ashnod's Battle Gear	
	Sacrifice a permanent. Target player gets you target drink within the structure you are playing. You pay any costs for the drink.	Ashnod's Coupon	
	Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then removes the rest from the game.	Ashnod's Cylix	
	Sacrifice a permanent. Put a +1/+1 counter on target nonartifact creature in combat. That creature becomes an artifact in addition to its other types.	Ashnod's Transmogrant	
	At end of combat, put a +1/+1 counter on target creature you control for each creature put into its controllers graveyard from play this combat.	Asmira, Holy Avenger	
	Target creature in combat gets +X/+Y this turn, where X is equal to half the number of lands you control, rounded down, and Y is equal to half the number of lands you control, rounded up.	Aspect of Wolf	
	Destroy target tapped creature.	Assassinate	
	Destroy target nonblack attacking creature. Play this effect after attackers are announced.	Assassin's Blade	
	Sacrifice a permanent. Add two mana of any one color to your mana pool. Draw a card.	Astrolabe	
	Sacrifice your artifacts. Target creature in combat gets +2/+2 this combat for each artifact sacrificed.	Atog	
	Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.	Aura Graft	
	Sacrifice an enchantment. Destroy target artifact or enchantment.	Aura of Silence	
	Sacrifice an enchantment. Target creature in combat gets +2/+2 this turn. You may repeat this effect.	Auratog	
	Target attacker gets trample and +1/+0 this combat for each other attacking creature with the same creature type.	Aurochs	
	Whenever a creature you control is put into a graveyard from play this combat, gain 3 life. Whenever a player plays a white spell this combat, gain 1 life.	Auspicious Ancestor	
	Target creature in combat loses shroud this combat.	Autumn Willow	
	Destroy 1d6 target snow lands.	Avalanche	
	If you have 3 life or less this combat, put any number of creature cards from your hand onto the battlefield. Creatures you control have flying and can block any number of creatures this combat.	Avatar of Hope	
	Target untapped creature controlled by the active player has trample this combat.	Avatar of Might	
	If you control a creature, destroy target enchantment.	Aven Cloudchaser	
	Whenever a creature you control is put into a graveyard from play this combat, draw a card.	Aven Fisher	
	All creatures under your control get +0/+1 until end of turn for each W you pay.	Aven Flock	
	Put a feather counter on target creature in combat. That creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it. Blockers may be reassigned.	Aven Mimeomancer	
	Target player reveals the top card of his or her library.	Aven Windreader	
	When target creature in combat is put into a graveyard from play this combat, its controller you may put it on top of its owner's library.	Avenging Angel	
	Target creature in combat gets +2/+2 this turn. Skip your next untap step.	Avizoa	
	Choose a player in combat. Choose an Instant or Aura spell from their hand and put it into its owners graveyard.	Avoid Fate	
	Creatures can't be blocked this combat unless defending player pays 3 for each creature he or she controls that's blocking.	Awesome Presence	
	Whenever a creature dealt damage by a creature you control is put into a graveyard this combat, you gain 1 life and your creature deals 1 damage to target player.	Axelrod Gunnarson	
	Tap a creature you control. Activated abilities from artifact sources are countered this combat unless that artifacts' controller pays W for each activated ability.	Ayesha Tanaka	
	Tap a land you control. Add W, G, or U to your mana pool.	Aysen Abbey	
	Tap a creature you control. Tap target creature with power 2 or less.	Aysen Bureaucrats	
	Target untapped creature you control has power and toughness this turn each equal to 2 plus the number of Soldiers and Warriors you control.	Aysen Crusader	
	White creatures have plainswalk this combat.	Aysen Highway	
	Target untapped creature gets +1/+0 this combat.	Azimaet Drake	
	Create a 2/4 blue Drake creature token with flying. Blockers may be reassigned.	Azure Drake	
	Attach all creatures you control in pairs of two. These creatures are treated as one big creature that keeps all abilities of both creatures, has power and toughness equal to the sum of each creature, and can only be blocked by three or more creatures. Singular creatures are not creatures unless they have another creature attached to them. If one half of the pair leaves play, the other half is sacrificed. At end of combat, unattach all creatures.	B.F.M. (Big Furry Monster)	
	Chaos deals 1d6 damage, rounded down, to target opponent.	Backdraft	
	Whenever a creature deals damage this combat, Chaos deals that much damage to that creature's controller.	Backfire	
	Black creatures get +1/+1 until end of turn.	Bad Moon	
	Tap and sacrifice a land you control. Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.	Bad River	
	Chaos deals 2 damage to each creature for each Aura attached to that creature.	Baki's Curse	
	Each player sacrifices lands until all players control the same number of lands as the player who controls the fewest. Players discard cards the same way, then sacrifice creatures the same way.	Balance	
	If target opponent has more cards in hand than you, draw cards equal to the difference.	Balance of Power	
	Create a 3/2 red Human Barbarian creature token. Blockers may be reassigned.	Balduvian Barbarians	
1	Create a 2/2 green Bear creature token. Blockers may be reassigned.	Balduvian Bears	
	Tap a creature you control. Target snow land becomes a 2/2 creature this turn that's still a land.	Balduvian Conjurer	
	Remove a creature card in your graveyard from the game. Create a 3/1 black and red Graveborn creature token with hasted. Sacrifice it at end of combat. Attackers and blockers may be reassigned.	Balduvian Dead	
	If you control a creature, choose one: Sacrifice a creature; or Discard a card at random.	Balduvian Horde	
	Tap all lands you control for mana. Spend all mana in your pool on X. Put X +1/+0 counters on target creature you control. This combat, instead of taking damage, remove a +1/+0 counter from that creature to prevent the next 1 damage that would be dealt to that creature. At end of combat, put a +1/+0 counter on a creature you control for every 3 Mountains you control rounded down.	Balduvian Hydra	
	Tap a creature you control. Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. That enchantment gains "Cumulative upkeep 1." (For example, you may change "counters black spells" to "counters blue spells.")	Balduvian Shaman	
	Tap a land you control. Choose one - Add 1R to your mana pool; or That land deals 1 damage to target untapped creature controlled by the active player.	Balduvian Trading Post	
	Create a 3/3 red Human Barbarian creature token with haste and rampage 1. Attackers and blockers may be reassigned.	Balduvian War-Makers	
	Target opponent reveals his or her hand. You draw a card for each Mountain and red card in it.	Baleful Stare	
	Target creature controlled by the active player has trample and haste. At end of combat, sacrifice it.	Ball Lightning	
	Tap all lands you control for mana. Spend all mana in your pool on X. Chaos deals X damage to target attacking or blocking creature. Play this effect anytime during combat.	Ballista Squad	
	Tap and sacrifice a permanent you control. Choose one - You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this combat.	Balm of Restoration	
	Prevent the next 1 damage that would be dealt to target creature or player this combat. Draw a card.	Bandage	
	Tap all lands you control for mana. Spend all mana in your pool on X. Tap a creature you control. That creature deals X damage divided evenly between you and target creature or player. Round up for you and down for that creature or player.	Banshee	
	Your creatures have Cycling 3. Until end of turn, when you cycle a creature or a creature you control dies, you may create a 1/1 white Soldier creature token.	Bant Sojourners	
	As long as you control a multicolored permanent, target creature in combat gets +1/+1 and has first strike until end of turn.	Bant Sureblade	
	Create a 3/2 red Human Barbarian Soldier creature token with horsemanship. Blockers may be reassigned.	Barbarian General	
	Tap a creature you control. Choose a land type. Target untapped creature controlled by the active player gains snow landwalk of the chosen type this combat. Return that creature to its owner's hand at end of combat.	Barbarian Guides	
	Create a 3/3 red Human Barbarian Soldier creature token. Blockers may be reassigned.	Barbarian Horde	
	Create a 2/2 green Ape creature token. Blockers may be reassigned.	Barbary Apes	
