		At the beginning of your upkeep, name an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card by the named artist. Put that card in your hand, then exile all the other cards revealed this way.	Aesthetic Consultation		
		At the beginning of your upkeep, create a 2/1 Bird artifact creature token that can't block.	Aesthir Glider		
		Whenever a player plays a creature spell, that player sacrifices a permanent unless he or she pays 1.	AEther Barrier		
		1U: Return up to 1d6 target creatures to their owners' hands.	AEther Burst		
		Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.	AEther Charge		
		Whenever a creature enters the battlefield, Chaos deals 2 damage to it.	AEther Flash		
		Whenever a creature is blocked, return it to its owner's hand at end of combat if it is still in play.	AEther Membrane		
		At the beginning of your upkeep, return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is its converted mana cost.	AEther Mutation		
		At the beginning of your upkeep, reveal a card at random from your hand. If you reveal a noncreature card this way, discard that card. If you reveal a creature card this way, put that card onto the battlefield unless any player pays 5 life. If a player pays 5 life, discard that card.	AEther Rift		
		3W: Choose one - Tap all Spirits; or tap all non-Spirit creatures.	AEther Shockwave		
		3BB: Remove all counters from all permanents and exile all tokens. Play this effect as a sorcery.	AEther Snap		
		U, Sacrifice a permanent you control: Return target creature to its owner's hand. 1, Sacrifice a permanent you control: Draw a card.	AEther Spellbomb		
		Whenever a player plays a creature spell, Chaos deals 1 damage to that player.	AEther Sting		
		Creature cards can't be played.	AEther Storm		
		XU: Discard X creature cards. Return X target creatures to their owners' hands. Play this effect as a sorcery.	AEther Tide		
		At the beginning of your upkeep, put a Chaos counter onto the battlefield. Tap an untapped permanent you control: Put a creature card with converted mana cost equal to the number of Chaos counters you control from your hand onto the battlefield. When this effect leaves play, exile all Chaos counters.	AEther Vial		
		If its not your turn, your creatures get +1/+1, have reach, and can block creatures with shadow as though they didn't have shadow.	AEther Web		
		Creatures can block creatures with shadow as though they didn't have shadow. R: Target creature gets +1/+0 until end of turn.	AEtherflame Wall		
		2WU: Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It has "At the end of your turn, return this creature to its owner's hand." Then put the rest of the cards revealed this way on the bottom of your library in any order.	AEthermage's Touch		
		Whenever a creature you control blocks a creature, you may return your blocker to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.	AEtherplasm		
		Whenever a creature enters the battlefield under your control, return target nonland permanent to its owner's hand. Creatures have "Evoke 1UU (You may play this spell for its evoke cost. If you do, it's sacrificed when it comes onto the battlefield.)"	AEthersnipe		
		2B: Target creature gets -1/-1 until end of turn. Draw a card.	Afflict		
		When this effect comes into play, each player gets three Chaos counters. At the beginning of your upkeep, put one of your Chaos counters on a creature you control and it becomes a +1/+1 counter. When you have no more Chaos counters, sacrifice a permanent. When this effect leaves play exile all Chaos counters.	Afiya Grove		
		2W: Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield under his control.	Afterlife		
		Take 3 damage: Destroy target artifact, creature, or land. Play this effect as a sorcery.	Aftershock		
		Whenever you gain life, put that many +1/+1 counters on a creature you control.	Ageless Entity		
		3W: Target creature you control gets 4 +1/+1 counters, adds Wall to it's creature type, gains defender and flying. Play this effect as a sorcery. When this creature blocks and this effect is still in play, it becomes a Bird Giant, and it loses defender and the Wall creature type.	Ageless Sentinels		
		At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.	Agent of Masks		
1		1B, Sacrifice a land: Target creature gets +2/+0 until end of turn.	Agent of Shauku		
		Mountains can be tapped for R or B.	Agent of Stromgald		
		3RR: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Play this effect as a sorcery.	Aggravated Assault		
		Creatures you control without defender have first strike and trample on your turn. At end of turn, sacrifice any creature you control without defender that didn't attack.	Aggression		
		1G: Target creature gets +1/+1 until end of turn. Draw a card.	Aggressive Urge		
		Creatures have +1/+1 and flanking.	Agility		
		3B: Kicker 1R; Destroy target nonblack creature. It can't be regenerated. If the kicker cost was paid, Chaos deals damage equal to that creature's power to the creature's controller.	Agonizing Demise		
		2BB: Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order. Play this effect as a sorcery.	Agonizing Memories		
		Whenever a creature attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.	Agrus Kos, Wojek Veteran		
		Creatures have flying.	Air Bladder		
		At the beginning of your upkeep, create a 4/4 blue Elemental creature token with flying.	Air Elemental		
		3U: Draw a card for each Bird on the battlefield. Play this effect as a sorcery.	Airborne Aid		
		1R, Sacrifice a creature: Chaos deals damage equal to the sacrificed creature's power to target creature or player.	Airdrop Condor		
		Whenever a creature blocks or becomes blocked, that creature becomes green. (This effect doesn't end.)	Aisling Leprechaun		
		2WW: Play this effect as a sorcery and only once per turn. Choose one - Gain 3 life.; or Lose 1 life and put a +1/+1 counter on each creature you control and those creatures gain vigilance this turn.; or Lose 6 life and put a white Avatar creature token onto the battlefield under your control with "This creature's power and toughness are each equal to your life total."	Ajani Goldmane		
		Sacrifice a land: Creatures you control get +2/+0 until end of turn. Play this effect only once per turn.	Akki Avalanchers		
		Whenever a creature is put into a graveyard from the battlefield, each player sacrifices a land.	Akki Blizzard-Herder		
		R, Tap an untapped creature you control: Attacking creatures gain first strike until end of turn.	Akki Coalflinger		
		Tap an untapped creature you control: Target creature gains haste until end of turn.	Akki Drillmaster		
		At the beginning of your upkeep, choose a creature you control. That creature and artifact creatures are the only creatures that can attack during your turn.	Akron Legionnaire		
		At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.	Aku Djinn		
		5, Tap an untapped permanent you control: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.	Al-abara's Carpet		
		Whenever a creature is put into your graveyard from the battlefield, shuffle that creature into your library.	Alabaster Dragon		
		XWW: Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.	Alabaster Potion		
		Whenever a creature you control attacks, you may tap target creature.	Alaborn Cavalier		
		At the beginning of your upkeep, create a 2/2 white Human Soldier creature token with vigilance.	Alaborn Grenadier		
		At the beginning of your upkeep, create a 2/2 white Human Soldier creature token with reach.	Alaborn Musketeer		
		At the beginning of your upkeep, ceate a 2/3 white Human Soldier creature token.	Alaborn Trooper		
		Tap an untapped creature you control: Target creature gets +2/+2 until end of turn. Play this effect as a sorcery, before the combat phase.	Alaborn Veteran		
		Whenever a creature blocks a creature, destroy both creatures.	Alaborn Zealot		
		At the beginning of your upkeep, gain control of target artifact as long as this effect remains in play.	Aladdin		
		The first time you would draw a card on your turn, instead look at the top X cards of your library, where X=the number of lands you control. Put all but one of them on the bottom of your library in a random order, then draw a card.	Aladdin's Lamp		
		At the beginning of your upkeep, Chaos deals 4 damage to any target.	Aladdin's Ring		
		1W: Untap target nonattacking creature. It gets +1/+3 this turn.	Alarum		
		2, Tap an untapped permanent you control: Target permanent you control becomes the color of your choice. (This effect doesn't end.)	Alchor's Tomb		
		1R: Roll 1d6. If the result is even, target creature gets +1/+1 this turn. Draw a card.	Aleatory		
		At the beginning of your upkeep, create a 2/2 white Human Soldier creature token with vigilance.	Alert Shu Infantry		
		At the beginning of your upkeep, tap all Walls.	Ali Baba		
		Damage that would reduce your life total to less than 1 reduces it to 1 instead.	Ali from Cairo		
		Blocking creatures get +3/+1.	Aliban's Tower		
		Each player puts 2 Chaos counters onto the battlefield. At the beginning of your upkeep, if there is a Chaos counter on the battlefield, exile a Chaos counter. If there are no more Chaos counters in play, each player returns all creature cards from his or her graveyard to the battlefield under his control. When this effect leaves play, exile all Chaos counters.	All Hallow's Eve		
		1GG: All creatures able to block target creature this turn do so. Play this effect as a sorcery.	Alluring Scent		
		1, Exile the top card in your graveyard: Prevent the next 1 damage that would be dealt to target creature this turn.	Alms		
		Sacrifice a creature: Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library. Play this effect as a sorcery.	Altar of Bone		
		Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.	Altar of Dementia 		
		Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.	Aluren		
		3: Target player puts the top three cards of his or her library into his or her graveyard.	Ambassador Laquatus		
		You may choose not to untap your permanents during your untap step. 4, Tap an untapped permanent you control: Tap target artifact, creature, or land. As long as your permanent remains tapped, the targeted permanent doesn't untap during its controller's untap step. Play this effect as a sorcery and only once per turn.	Amber Prison		
		3B: You draw three cards and you lose 3 life. Play this effect as a sorcery.	Ambition's Cost		
		Blocking creatures gain first strike.	Ambush		
		At the beginning of your upkeep, create a 3/1 red Human Rogue creature token with first strike and haste.	Ambush Party		
		3UUU: Target player reveals his or her hand and discards all nonland cards. Play this effect as a sorcery.	Amnesia		
		At the beginning of your upkeep, create a 1/1 white Kithkin creature token that can't be blocked by creatures with power 3 or greater.	Amrou Kithkin		
		2, Tap an untapped permanent you control: Prevent the next 1 damage that would be dealt to target creature or player this turn. Play this effect only once per turn.	Amulet of Kroog		
		Tap and sacrifice a permanent you control: Target opponent may exile the top card of his or her library. If he or she doesn't, roll 1d6. If the roll is even, that player loses the game. If the roll is odd, you lose the game. Play this effect only during your upkeep and only once per turn.	Amulet of Quoz		
		5, Tap and exile a permanent you control: Exile target artifact, creature, or land. Play this effect as a sorcery and only once per turn.	Amulet of Unmaking		
		Minotaur creatures get +1/+1.	Anaba Ancestor		
		At the beginning of your upkeep, create a 2/3 red Minotaur creature token with first strike.	Anaba Bodyguard		
		R, Tap an untapped creature you control: That creature deals 1 damage to target creature or player.	Anaba Shaman		
		Minotaur creatures get +1/+0.	Anaba Spirit Crafter		
		At the beginning of your upkeep, create a 3/3 green Snake creature token with swampwalk.	Anaconda		
		Whenever a creature enters the battlefield under your control, you may return target sorcery card from your graveyard to your hand.	Anarchist		
		2RR: Destroy all white permanents. Play this effect as a sorcery.	Anarchy		
		Whenever a creature enters the battlefield under your control, Chaos deals damage to target player equal to the number of nonbasic lands that player controls. 7: Unearth target creature from your graveyard.	Anathemancer		
		Whenever a creature enters the battlefield under your control, you gain 1 life for each card in your graveyard.	Ancestor's Chosen		
		Look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order. When this effect leaves play, shuffle your library.	Ancestral Knowledge		
		2UUU: Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard. Play this effect as a sorcery.	Ancestral Memories		
		At the beginning of your upkeep target player draws 3 cards.	Ancestral Recall		
		3B: Draw three cards and lose 3 life. Play this effect as a sorcery.	Ancient Craving		
		At the beginning of each player's upkeep, Chaos deals damage to that player equal to the number of artifacts he or she controls.	Ancient Runes 		
		G: Regenerate target non-flying creature.	Ancient Silverback		
		Whenever a creature you control is put into your graveyard from the battlefield, you may shuffle it into your library.	Angel of Fury		
		Creatures you control have flying and vigilance during your turn.	Angel of Light		
		Whenever a creature enters the battlefield, it's controller gains 3 life.	Angel of Mercy		
		2W: Target creature gets +3/+3 and gains flying until end of turn. Play this effect as a sorcery.	Angelic Blessing		
		Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.	Angelic Chorus		
		Tap an untapped creature you control: Target attacking or blocking creature gets +1/+1 until end of turn.	Angelic Page		
		Whenever a creature becomes the target of a spell or ability, it gets +0/+3 until end of turn.	Angelic Protector 		
		Whenever a creature is put into your graveyard from the battlefield, you may sacrifice a permanent. If you do, return that card to the battlefield.	Angelic Renewal		
		Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.	Angelic Voices		
		At the beginning of your upkeep, create a 0/4 white Wall creature token with defender and flying.	Angelic Wall		
		Whenever a player plays a white spell, all players gain 1 life.	Angel's Feather		
		If it's your turn, your creatures have power and toughness each equal to 2 plus the number of Swamps your opponents control. If it's not your turn, your creatures have power and toughness each equal to 2.	Angry Mob		
		GWU, Tap an untapped creature you control: Prevent all combat damage that would be dealt this turn.	Angus Mackenzie		
		Creatures have toughness equal to 1 plus the number of green creatures on the battlefield.	An-Havva Constable		
		1GG: Gain X+1 life, where X is the number of green creatures on the battlefield. Play this effect as a sorcery.	An-Havva Inn		
		Tap a land you control: Choose one - 1: Add G to your mana pool; or 2: Add R or W to your mana pool. Play this effect only once per turn.	An-Havva Township		
		Artifacts are creatures with power and toughness each equal to their converted mana cost. They are still artifacts.	Animate Artifact		
		During your upkeep, you may put a creature from any graveyard onto the battlefield under your control with a -1/-0 counter on it. When this effect leaves play, sacrifice all creatures put onto the battlefield this way. 	Animate Dead		
		Walls can attack as though they didn't have defender.	Animate Wall		
		Whenever a land enters the battlefield, Chaos deals 2 damage to that land's controller.	Ankh of Mishra		
		2UU: You control target land. Play this effect as a sorcery.	Annex		
		W: Prevent the next 3 damage that would be dealt to target creature this turn.	Anoint		
		Creatures can't be the target of spells.	Anti-Magic Aura		
		Players have no maximum hand size. At the beginning of your draw step, draw a card, then discard a card.	Anvil of Bogardan		
		Each player chooses a creature type. Creatures of the chosen type don't untap during their controllers' untap steps.	An-Zerrin Ruins		
		Creatures don't untap during untap steps. At the beginning of your upkeep, you may discard a card at random for each creature you want to untap. If you do, untap that creature.	Apathy		
		Whenever a creature attacks, it doesn't untap during its controller's next untap step.	Apes of Rath		
		2RRR: Exile all permanents. You discard your hand. Play this effect as a sorcery.	Apocalypse		
		2, Tap and sacrifice a permanent: Destroy all cards with names from the Homelands expansion. They can't be regenerated.	Apocalypse Chime		
		Tap an untapped creature you control: That creature deals 1 damage to target creature or player. Play this effect as a sorcery, before the combat phase.	Apprentice Sorcerer		
		U, Tap an untapped creature you control: Add 3 to your mana pool. Play this effect only once per turn.	Apprentice Wizard		
		Creatures can't attack a player who didn't play a spell or didn't put a card onto the battlefield during his or her last turn.	Arboria		
		2R: Chaos deals 3 damage divided as you choose among any number of target creatures and/or players. Play this effect as a sorcery.	Arc Lightning		
		At the beginning of your upkeep, sacrifice a creature unless you pay GWU. Untapped nonattacking creatures you control get +0/+2. W: Target creature you control gets +0/+1 until end of turn.	Arcades Sabboth		
		1U: Counter target spell. Its controller may draw up to two cards. Draw a card.	Arcane Denial		
		Each player can't play more than one spell each turn.	Arcane Laboratory		
		All creatures have +2/+2 and "Tap this creature to deal 1 damage to target creature or player."	Arcane Teachings		
		2UU: Return a creature you control to its owner's hand. Play this effect only once per turn.	Arcanis the Omnipotent		
		At the beginning of your upkeep, create a 5/5 white Angel creature token with flying and vigilance.	Archangel		
		Whenever a creature enters the battlefield under your control, look at the top three cards of target player's library, then put them back in any order. 1: Cycle a creature.	Architects of Will		
		Tap an untapped creature you control: Draw a card. Play this effect only once per turn.	Archivist		
		Creatures with power 2 or greater can't block other creatures as long as defending player controls a snow land.	Arctic Foxes		
		Whenever a creature enters the battlefield under your control, draw a card.	Arctic Wolves		
		Creatures have vigilance if the defending player controls a snow land.	Arcum's Sleigh		
		Snow lands are no longer snow. Nonsnow basic lands become snow.	Arcum's Weathervane		
		At the beginning of your upkeep, for each creature without defender you control, you may pay X, where X is that creature's converted mana cost. If you don't, the creature attacks this turn if able. At end of turn, destroy it if it didn't attack.	Arcum's Whistle		
		At the beginning of your upkeep, create a 2/5 white Human Soldier creature token with vigilance.	Ardent Militia		
		Exalted. Cascade the first spell you cast each turn.	Ardent Plea		
		Tap all legendary creatures. Legendary creatures don't untap during untap steps.	Arena of the Ancients		
		W, Sacrifice an enchantment: Destroy target enchantment. 3UU: Counter target enchantment spell.	Arenson's Aura		
		WW, Tap an untapped creature you control: Return target artifact card from your graveyard to your hand.	Argivian Archaeologist		
		Tap an untapped creature you control: Prevent the next 2 damage that would be dealt to target artifact creature this turn.	Argivian Blacksmith		
		W: Return target artifact or enchantment card from your graveyard to your hand.	Argivian Find		
		2UU: Return target artifact card from your graveyard to the battlefield. Play this effect as a sorcery.	Argivian Restoration		
		Tap an untapped creature you control: Untap two target lands.	Argothian Elder		
		Creatures can't be blocked by artifact creatures. Prevent all damage that would be dealt to creatures by artifact creatures.	Argothian Pixies		
		Prevent all damage that would be dealt to creatures by artifacts.	Argothian Treefolk		
		At the beginning of your upkeep, destroy all lands.	Armageddon		
		At the beginning of each upkeep, each player get's a doom counter. At the beginning of each players draw step, Chaos deals damage to each player equal to the number of doom counters they have. 4: Each player removes a doom counter from the battlefield. Any player may play this effect but only during an upkeep step. When this effect leaves play, exile all doom counters.	Armageddon Clock		
		Creatures get +1/+1. W: Target creature gets +0/+1 until end of turn.	Armor of Faith		
		Nonblack creatures get +2/+2.	Armor of Thorns		
		Creatures have "2: This creature gets +0/+1 until end of turn." 	Armor Sliver		
		Tap and sacrifice a creature: Put a +1/+2 counter on target creature.	Armor Thrull		
		Creatures can't attack unless defending player controls an Island.	Armored Galleon		
		At the beginning of yourupkeep, create a 2/3 white Griffin creature token with flying and vigilance.	Armored Griffin		
		At the beginning of your upkeep, create a 1/2 white Pegasus creature token with flying.	Armored Pegasus		
		Play this effect only once per turn. Tap an untapped creature you control: Choose one - B: Target creature gets +1/+0 this turn; or G: Target creature gets +0/+1 this turn.	Armorer Guildmage		
		Tap an untapped creature you control, Sacrifice a land: Destroy target land. Play this effect only once per turn.	Army Ants		
		Attacking creatures get +2/+0.	Army of Allah		
		1: Target creature gains flying this turn.	Arnjlot's Ascent		
		At the beginning of your upkeep, create a 4/3 black Vampire creature token with flying.	Arrogant Vampire		
		Whenever a creature enters the battlefield under your control, you may reveal any number of artifact cards from your hand. That creature enters the battlefield with a +1/+1 counter on it for each card revealed this way.	Arsenal Thresher		
		R: Counter target artifact spell.	Artifact Blast		
		Whenever an artifact becomes tapped or a player plays an activated ability of an artifact without tapping it, Chaos deals 2 damage to that artifact's controller.	Artifact Possession		
		Creatures have protection from artifacts.	Artifact Ward		
		Black creatures get +1/+1. Nonblack creatures get -1/-1.	Ascendant Evincar		
		At the beginning of your upkeep, return target creature card from your graveyard to the battlefield if three or more creature cards are above the one you return.	Ashen Ghoul		
		2BB: Put target creature card from an opponent's graveyard onto the battlefield. Play this effect as a sorcery.	Ashen Powder		
		1BB: Exile two target nonartifact creatures. Chaos deals 5 damage to you. Play this effect as a sorcery	Ashes to Ashes		
		Sacrifice a creature: Add 2 to your mana pool.	Ashnod's Altar		
		Creatures have +2/-2.	Ashnod's Battle Gear		
		Tap and sacrifice a permanent: Target player gets you target drink within the structure you are playing. You pay any costs for the drink.	Ashnod's Coupon		
		3, Tap an untapped permanent you control: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest. Play this effect only once per turn.	Ashnod's Cylix		
		Tap and sacrifice a permanent: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types. Play this effect as a sorcery and only once per turn.	Ashnod's Transmogrant		
		At end of your turn, put a +1/+1 counter on each creature you control for each creature put into your graveyard from the battlefield that turn.	Asmira, Holy Avenger		
		Your creatures get +X/+Y, where X is equal to half the number of lands you control, rounded down, and Y is equal to half the number of lands you control, rounded up.	Aspect of Wolf		
		2B: Destroy target tapped creature. Play this effect as a sorcery.	Assassinate		
		1B: Destroy target nonblack attacking creature. Play this effect only during the declare attackers step and only if you are the defending player.	Assassin's Blade		
		1, Tap and sacrifice a permanent: Add two mana of any one color to your mana pool. Draw a card. Play this effect as a sorcery and only once per turn.	Astrolabe		
		Sacrifice an artifact: Target creature gets +2/+2 until end of turn.	Atog		
		1U: Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant. Play this effect as a sorcery.	Aura Graft		
		Artifact and enchantment spells cost 2 more to play. Sacrifice an enchantment: Destroy target artifact or enchantment.	Aura of Silence		
		Sacrifice an enchantment: Creatures you control get +2/+2 this turn.	Auratog		
		Whenever creatures attack, they get trample and +1/+0 until end of turn for each other attacking creature with the same creature type.	Aurochs		
		Whenever a creature you control is put into a graveyard from the battlefield, you gain 3 life. Whenever a player plays a white spell, you may pay 1. If you do, you gain 1 life.	Auspicious Ancestor		
		Creatures have Shroud. G: Until end of turn, target creature you control can be the target of spells and abilities you control as though it didn't have shroud.	Autumn Willow		
		X2RR: Destroy X target snow lands. Play this effect as a sorcery.	Avalanche		
		If you have 3 life or less, all of your creature spells cost up to 6 less to play. All your creatures gain flying and can block any number of creatures.	Avatar of Hope		
		If an opponent controls at least four more creatures than you, your creature spells cost up to 6 less to play and your creatures have trample.	Avatar of Might		
		Whenever a creature enters the battlefield under your control, destroy target enchantment you don't control.	Aven Cloudchaser		
		When a blue creature is put into a graveyard from the battlefield, that creature's controller may draw a card.	Aven Fisher		
		W: all creatures under your control get +0/+1 until end of turn.	Aven Flock		
		At the beginning of your upkeep, put a feather counter on target creature. That creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.	Aven Mimeomancer		
		1U: Target player reveals the top card of his or her library.	Aven Windreader		
		Whenever a creature is put into a graveyard from the battlefield, its controller may put it on top of its owner's library.	Avenging Angel		
		0: Target creature you control gets +2/+2 until end of turn. You skip your next untap step. Play this effect only once per turn.	Avizoa		
		G: Counter target instant or Aura spell that targets a permanent you control.	Avoid Fate		
		Creatures can't be blocked unless defending player pays 3 for each creature he or she controls that's blocking.	Awesome Presence		
		Whenever a creature dealt damage by a creature you control is put into a graveyard, you gain 1 life and your creature deals 1 damage to target player.	Axelrod Gunnarson		
		Tap an untapped creature you control: Counter target activated ability from an artifact source unless that ability's controller pays W.	Ayesha Tanaka		
1		1: Add W to your mana pool; or 2: Add G or U to your mana pool. Play this effect only once per turn.	Aysen Abbey		
