	Sacrifice a permanent. Destroy all cards with names from the Homelands expansion. They can't be regenerated.	Apocalypse Chime	
	Tap an untapped creature you control. That creature deals 1 damage to target creature or player.	Apprentice Sorcerer	
	Add 3 to your mana pool. This mana doesn't empty until end of turn.	Apprentice Wizard	
	Creatures can't attack a player this combat who didn't play a spell or didn't put a card onto the battlefield during his or her last turn.	Arboria	
	Chaos deals 3 damage divided as you choose among any number of target creatures and/or players.	Arc Lightning	
	Sacrifice a creature unless you pay GWU. Untapped nonattacking creatures you control get +0/+2 this turn. Target creature you control gets +0/+X this turn where X equals the number of Plains you control.	Arcades Sabboth	
	Target player discards a card at random and draws two cards. Draw a card.	Arcane Denial	
	Players can't play more than one spell this turn.	Arcane Laboratory	
	Target creature you control has +2/+2 and "Tap this creature to deal 1 damage to target creature or player." until end of turn.	Arcane Teachings	
	Return a creature you control to its owner's hand.	Arcanis the Omnipotent	
	Create a 5/5 white Angel creature token with flying and vigilance.	Archangel	
	Look at the top three cards of target player's library, then put them back in any order. Until end of turn, you may cycle a creature for 1.	Architects of Will	
	Draw a card.	Archivist	
	Creatures with power 2 or greater can't block other creatures this turn as long as defending player controls a snow land.	Arctic Foxes	
	Whenever a creature comes onto the battlefield this turn, draw a card.	Arctic Wolves	
	Tap a noncreature permanent you control. Creatures have vigilance this turn if the defending player controls a snow land.	Arcum's Sleigh	
	Tap a noncreature permanent you control. Choose one - Snow lands are no longer snow this turn; or Nonsnow basic lands become snow this turn.	Arcum's Weathervane	
	Tap a noncreature permanent you control. Choose target creature you control without defender. You may pay X, where X is that creature's converted mana cost. If you don't, the creature attacks this turn if able. At end of turn, destroy it if it didn't attack.	Arcum's Whistle	
	Create a 2/5 white Human Soldier creature token with vigilance.	Ardent Militia	
	Exalted this turn. Cascade the first spell you cast this turn.	Ardent Plea	
	Tap all legendary creatures. Legendary creatures don't untap during your untap step this turn.	Arena of the Ancients	
	Sacrifice an enchantment. Destroy target enchantment. Look at target players hand and have them discard an enchantment card.	Arenson's Aura	
	Return target artifact card from your graveyard to your hand.	Argivian Archaeologist	
	Prevent the next 2 damage that would be dealt to target artifact creature this turn.	Argivian Blacksmith	
	Return target artifact or enchantment card from your graveyard to your hand.	Argivian Find	
	Return target artifact card from your graveyard to play.	Argivian Restoration	
	Untap two target lands.	Argothian Elder	
	Creatures can't be blocked by artifact creatures this turn. Prevent all damage that would be dealt to target creature you control by artifact creatures this turn.	Argothian Pixies	
	Prevent all damage that would be dealt to target creature you control by artifacts this turn.	Argothian Treefolk	
	Destroy all lands.	Armageddon	
	Roll 1d6. Each player takes damage equal to the roll. Any player may pay 4 to reduce the damage dealt by 1.	Armageddon Clock	
	Target creature you control gets +1/+1 this turn. Target creature you control gets +0/+1 this turn for each Plains you control.	Armor of Faith	
	Target nonblack creature you control gets +2/+2 this turn.	Armor of Thorns	
	Choose a creature type you control. All creatures of that type have "2: This creature gets +0/+1 until end of turn." this turn. 	Armor Sliver	
	Sacrifice a creature. Put a +1/+2 counter on target creature you control.	Armor Thrull	
	Target creature you control can't attack this turn unless defending player controls an Island.	Armored Galleon	
	Create a 2/3 white Griffin creature token with flying and vigilance.	Armored Griffin	
	Target creature you control becomes a 1/2 white Pegasus creature with flying this turn.	Armored Pegasus	
	Choose one - Target creature you control gets +1/+0 this turn; or Target creature you control gets +0/+1 this turn.	Armorer Guildmage	
	Sacrifice a land. Destroy target land.	Army Ants	
	Attacking creatures get +2/+0 this turn.	Army of Allah	
	Target creature you control gains flying this turn.	Arnjlot's Ascent	
	Create a 4/3 black Vampire creature token with flying.	Arrogant Vampire	
	Whenever a creature enters the battlefield under your control this turn, you may reveal any number of artifact cards from your hand. That creature enters the battlefield with a +1/+1 counter on it for each card revealed this way.	Arsenal Thresher	
	Put an artifact you don't control into its owners graveyard.	Artifact Blast	
	Whenever an artifact becomes tapped or a player plays an activated ability of an artifact without tapping it this turn, Chaos deals 2 damage to that artifact's controller.	Artifact Possession	
	Target creature you control has protection from artifacts this turn.	Artifact Ward	
	Black creatures you control get +1/+1 and nonblack creatures controlled by other players get -1/-1 until end of turn.	Ascendant Evincar	
	Return target creature card from your graveyard to play if three or more creature cards are above the one you return.	Ashen Ghoul	
	Put target creature card from an opponent's graveyard onto the battlefield.	Ashen Powder	
	Remove two target nonartifact creatures from the game. Chaos deals 5 damage to you.	Ashes to Ashes	
	Sacrifice a creature. Add 2 to your mana pool.	Ashnod's Altar	
	Target creature you control gets +2/-2 this turn.	Ashnod's Battle Gear	
	Sacrifice a permanent. Target player gets you target drink within the structure you are playing. You pay any costs for the drink.	Ashnod's Coupon	
	Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then removes the rest from the game.	Ashnod's Cylix	
	Sacrifice a permanent. Put a +1/+1 counter on target nonartifact creature you control. That creature becomes an artifact in addition to its other types.	Ashnod's Transmogrant	
	At end of turn, put a +1/+1 counter on target creature you control for each creature put into your graveyard from play this turn.	Asmira, Holy Avenger	
	Target creature you control gets +X/+Y this turn, where X is equal to half the number of lands you control, rounded down, and Y is equal to half the number of lands you control, rounded up.	Aspect of Wolf	
	Destroy target tapped creature.	Assassinate	
	Destroy target nonblack creature you control.	Assassin's Blade	
	Sacrifice a permanent. Add two mana of any one color to your mana pool. Draw a card.	Astrolabe	
	Sacrifice 1d6 artifacts. Target creature you control gets +2/+2 this turn for each artifact sacrificed this way.	Atog	
	Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.	Aura Graft	
	Artifact and enchantment spells cost 2 more to play this turn. Sacrifice an enchantment. Destroy target artifact or enchantment.	Aura of Silence	
	Sacrifice an enchantment. Target creature you control gets +2/+2 this turn. You may repeat this effect.	Auratog	
	When target creature you control attacks this turn, it gets trample and +1/+0 this turn for each other attacking creature with the same creature type.	Aurochs	
	Whenever a creature you control is put into a graveyard from play this turn, gain 3 life. Whenever a player plays a white spell this turn, gain 1 life.	Auspicious Ancestor	
	Target creature with shroud loses shroud this turn.	Autumn Willow	
	Destroy 1d6 target snow lands.	Avalanche	
	Whenever you have 3 life or less this turn, all of your creature spells cost up to 6 less to play and can be cast as an instant. Target creature you control gains flying this turn.	Avatar of Hope	
	If an opponent controls at least four more creatures than you, your creature spells cost up to 6 less to play and your creatures have trample this turn.	Avatar of Might	
	Whenever a creature comes onto the battlefield this turn, destroy target enchantment.	Aven Cloudchaser	
	Whenever a creature is put into a graveyard from play this turn, you may draw a card.	Aven Fisher	
	All creatures under your control get +0/+1 until end of turn for each W you pay.	Aven Flock	
	Put a feather counter on target creature you control. That creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.	Aven Mimeomancer	
	Target player reveals the top card of his or her library.	Aven Windreader	
	When target creature you control is put into a graveyard from play this turn, you may put it on top of its owner's library.	Avenging Angel	
	Target creature you control gets +2/+2 this turn. Skip your untap step this turn.	Avizoa	
	Put an Aura spell that you don't control into its owners graveyard.	Avoid Fate	
	Creatures can't be blocked this turn unless defending player pays 3 for each creature he or she controls that's blocking.	Awesome Presence	
	Whenever a creature dealt damage by a creature you control is put into a graveyard this turn, you gain 1 life and your creature deals 1 damage to target player.	Axelrod Gunnarson	
	Activated abilities from artifact sources are countered this turn unless that artifacts' controller pays W for each activated ability.	Ayesha Tanaka	
	Add W, G, or U to your mana pool. This mana doesn't empty until end of turn.	Aysen Abbey	
	Tap target creature you don't control with power 2 or less.	Aysen Bureaucrats	
	Target creature you control has power and toughness this turn each equal to 2 plus the number of Soldiers and Warriors you control.	Aysen Crusader	
	White creatures have plainswalk this turn.	Aysen Highway	
	Target creature you control gets +1/+0 this turn.	Azimaet Drake	
	Create a 2/4 blue Drake creature token with flying.	Azure Drake	
	Attach all creatures you control in pairs of two. These creatures are treated as one big creature that keeps all abilities of both creatures, has power and toughness equal to the sum of each creature, and can only be blocked by three or more creatures. Singular creatures are not creatures unless they have another creature attached to them. If one half of the pair leaves play, the other half is sacrificed. At end of turn, unattach all creatures.	B.F.M. (Big Furry Monster)	
	Whenever a sorcery spell deals damage this turn, Chaos deals half that much damage, rounded down, to you.	Backdraft	
	Whenever a creature you control deals damage this turn, Chaos deals that much damage to you.	Backfire	
	Black creatures get +1/+1 this turn.	Bad Moon	
	Sacrifice a land. Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.	Bad River	
	Chaos deals 2 damage to each creature for each Aura attached to that creature.	Baki's Curse	
	Each player sacrifices lands until all players control the same number of lands as the player who controls the fewest. Players discard cards the same way, then sacrifice creatures the same way.	Balance	
	If target opponent has more cards in hand than you, draw cards equal to the difference.	Balance of Power	
	Create a 3/2 red Human Barbarian creature token.	Balduvian Barbarians	
	Create a 2/2 green Bear creature token.	Balduvian Bears	
	Tap a creature you control. Target snow land becomes a 2/2 creature this turn that's still a land.	Balduvian Conjurer	
	Remove a creature card in your graveyard from the game. Create a 3/1 black and red Graveborn creature token with haste. Sacrifice it at end of turn.	Balduvian Dead	
	When a creature comes onto the battlefield this turn, sacrifice it unless you discard a card at random.	Balduvian Horde	
	Tap all lands you control for mana. Spend all mana in your pool on X. Put X +1/+0 counters on target creature you control. This turn, instead of taking damage, remove a +1/+0 counter from that creature to prevent the next 1 damage that would be dealt to that creature. At end of turn, put a +1/+0 counter on a creature you control for every 3 Mountains you control rounded down.	Balduvian Hydra	
	Tap a creature you control. Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. That enchantment gains "Cumulative upkeep 1." (For example, you may change "counters black spells" to "counters blue spells.")	Balduvian Shaman	
	Tap a land you control. Choose one - Add 1R to your mana pool; or That land deals 1 damage to target you control.	Balduvian Trading Post	
	Create a 3/3 red Human Barbarian creature token with haste and rampage 1.	Balduvian War-Makers	
	Target opponent reveals his or her hand. You draw a card for each Mountain and red card in it.	Baleful Stare	
	Target creature you control has trample. At end of turn, sacrifice it.	Ball Lightning	
	Chaos deals 1d6 damage to target untapped creature you don't control.	Ballista Squad	
	Sacrifice a permanent. Choose one - You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.	Balm of Restoration	
	Prevent the next 1 damage that would be dealt to you or target creature you control this turn. Draw a card.	Bandage	
	Tap all of your lands for mana. Spend all mana in your pool on X. Tap a creature you control. That creature deals X damage divided evenly between you and target creature or player. Round up for you and down for that creature or player.	Banshee	
	Your creatures have Cycling 3. Until end of turn, when you cycle a creature or a creature you control dies, you may create a 1/1 white Soldier creature token.	Bant Sojourners	
	As long as you control a multicolored permanent, creatures you control get +1/+1 and have first strike this turn.	Bant Sureblade	
	Create a 3/2 red Human Barbarian Soldier creature token with horsemanship.	Barbarian General	
	Tap a creature you control. Choose a land type. Target creature you control gains snow landwalk of the chosen type this turn. Return that creature to its owner's hand at end of turn.	Barbarian Guides	
	Create a 3/3 red Human Barbarian Soldier creature token.	Barbarian Horde	
	Create a 2/2 green Ape creature token.	Barbary Apes	
	Whenever a creature attacks this turn, it loses flanking. Whenever a creature without flying attacks this turn, Chaos deals 1 damage to it.	Barbed Foliage	
	Sacrifice a permanent. Add one mana of any color to your mana pool. Draw a card.	Barbed Sextant	
	Choose a creature type you control. All creatures of that type have "2: This creature gets +1/+0 this turn." this turn.	Barbed Sliver 	
	Target green creature gets -1/-1 this turn for each Swamp you control.	Barbed-Back Wurm	
	Create a 6/4 green Wurm creature token.	Barbtooth Wurm	
	Target opponent draws a card. You gain 7 life.	Bargain	
	Whenever a creature is put into your graveyard from play this turn, remove it from the game, then shuffle all creature cards from your graveyard into your library.	Barishi	
	Create a 6/5 black and red Human Warrior creature token.	Barktooth Warbeard	
	Tap a creature for every 3 lands you control.	Barl's Cage	
